N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
87,에스원,"87,500",400,+0.46%,500,"33,249","37,999",55.73,"106,861",23.03,11.32,
88,현대차2우B,"90,700",500,+0.55%,"5,000","33,092","36,485",60.83,"239,643",21.67,N/A,
89,GS건설,"40,800","1,150",+2.90%,"5,000","32,791","80,370",27.15,"1,103,493",10.68,11.79,
90,두산밥캣,"32,650","2,150",+7.05%,500,"32,731","100,249",20.72,"1,953,367",17.67,7.05,
91,호텔신라,"82,800","1,300",+1.60%,"5,000","32,497","39,248",19.81,"754,689",-25.13,20.16,
92,LG화학우,"418,000","26,500",+6.77%,"5,000","32,139","7,689",60.49,"144,867",39.05,N/A,
93,만도,"67,700","1,900",+2.89%,"1,000","31,790","46,957",25.86,"1,245,543",-57.32,7.55,
94,대우조선해양,"29,550",850,+2.96%,"5,000","31,704","107,291",8.99,"786,971",18.18,-1.22,
95,더존비즈온,"104,000","3,000",-2.80%,500,"31,310","30,106",45.98,"134,147",64.64,18.78,
96,DB손해보험,"43,650","1,050",+2.46%,500,"30,904","70,800",40.73,"388,071",5.56,6.92,
97,씨에스윈드,"177,000","1,500",-0.84%,500,"30,596","17,286",8.26,"398,828",61.72,9.92,
98,TIGER 200,"41,640",930,+2.28%,0,"30,460","73,150",6.10,"1,516,955",N/A,N/A,
99,롯데쇼핑,"106,500","3,500",+3.40%,"5,000","30,128","28,289",11.34,"364,553",-2.25,-8.14,
100,한국가스공사,"31,900",50,-0.16%,"5,000","29,448","92,313",8.94,"655,670",-5.87,0.48,
101,한화생명,"3,360",705,+26.55%,"5,000","29,183","868,530",7.35,"119,881,687",12.78,0.51,
102,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
103,현대오토에버,"137,500","1,000",+0.73%,500,"28,875","21,000",1.41,"411,569",50.24,11.71,
104,삼성엔지니어링,"14,250",300,+2.15%,"5,000","27,930","196,000",24.41,"3,974,699",10.94,24.62,
105,CJ,"94,900",800,+0.85%,"5,000","27,689","29,177",19.96,"280,830",15.76,6.24,
106,한국항공우주,"28,300",450,-1.57%,"5,000","27,585","97,475",14.53,"1,107,747",20.84,15.84,
107,휠라홀딩스,"45,100",750,+1.69%,"1,000","27,399","60,752",47.83,"570,821",15.21,23.81,
108,GS리테일,"35,550",350,+0.99%,"1,000","27,374","77,000",14.36,"513,710",16.20,6.25,
109,팬오션,"5,080",40,-0.78%,"1,000","27,156","534,570",11.58,"7,332,098",20.08,5.49,
110,메리츠증권,"3,770",35,+0.94%,"1,000","25,484","675,962",12.89,"4,338,448",4.72,15.06,
111,한샘,"108,000","1,500",-1.37%,"1,000","25,417","23,534",23.23,"108,101",37.92,7.32,
112,LS,"78,400","4,900",+6.67%,"5,000","25,245","32,200",11.91,"593,460","-1,088.89",0.80,
113,종근당,"230,000","5,500",-2.34%,"2,500","25,037","10,886",13.31,"217,428",27.29,11.94,
114,하이트진로,"35,400","1,100",+3.21%,"5,000","24,827","70,134",9.16,"1,803,772",33.46,-3.86,
115,대우건설,"5,940",30,-0.50%,"5,000","24,688","415,623",8.19,"12,047,838",12.83,8.80,
116,일진머티리얼즈,"52,600",200,+0.38%,500,"24,254","46,111",7.95,"392,813",54.56,8.52,
117,DB하이텍,"54,000",400,+0.75%,"5,000","23,975","44,399",27.09,"1,580,057",14.57,17.40,
118,제일기획,"20,600",200,+0.98%,200,"23,698","115,041",32.48,"886,681",17.46,15.09,
119,현대로템,"21,700",200,-0.91%,"5,000","23,684","109,142",5.39,"7,834,384",-12.32,-37.93,
120,OCI,"99,300","2,600",+2.69%,"5,000","23,682","23,849",19.81,"583,246",-3.21,-26.20,
121,신세계,"240,000","3,000",+1.27%,"5,000","23,628","9,845",24.67,"145,928",-7.71,14.24,
122,BGF리테일,"136,500","2,500",+1.87%,"1,000","23,593","17,284",30.84,"79,401",18.03,26.46,
123,녹십자홀딩스,"49,750",150,+0.30%,500,"23,397","47,028",6.72,"1,882,266",47.02,0.37,
124,한화,"31,000","1,900",+6.53%,"5,000","23,237","74,959",19.58,"2,120,079",12.63,2.09,
125,LS ELECTRIC,"73,600","9,000",+13.93%,"5,000","22,080","30,000",14.56,"1,133,977",28.36,7.82,
126,현대차우,"90,000",700,+0.78%,"5,000","21,921","24,357",53.42,"200,225",21.51,N/A,
127,한솔케미칼,"189,000",0,0.00%,"5,000","21,348","11,295",38.49,"76,908",18.19,20.88,
128,현대미포조선,"53,400","1,100",+2.10%,"5,000","21,329","39,942",13.26,"600,679",45.96,2.31,
129,오뚜기,"573,000",0,0.00%,"5,000","21,040","3,672",16.08,"7,240",19.36,7.79,
130,KODEX 단기채권,"102,650",15,+0.01%,0,"20,972","20,431",2.94,"32,104",N/A,N/A,
131,대웅제약,"180,500","3,500",-1.90%,"2,500","20,914","11,587",4.83,"258,085","-1,262.24",4.34,
132,현대해상,"23,050",650,+2.90%,500,"20,607","89,400",37.33,"848,804",5.66,6.23,
133,한올바이오파마,"38,900",400,-1.02%,500,"20,322","52,241",8.01,"765,355",103.18,14.90,
134,포스코인터내셔널,"16,300","1,250",+8.31%,"5,000","20,110","123,375",11.81,"3,446,541",8.99,7.06,
135,현대위아,"70,800","2,000",+2.91%,"5,000","19,254","27,195",11.58,"2,724,190",15.30,1.80,
136,한화시스템,"17,150",50,+0.29%,"5,000","18,905","110,230",2.42,"1,019,314",24.29,8.15,
137,대한유화,"290,500","13,500",+4.87%,"5,000","18,882","6,500",18.08,"250,491",21.26,6.11,
138,BNK금융지주,"5,780",210,+3.77%,"5,000","18,839","325,935",36.73,"3,832,408",3.92,7.07,
139,HDC현대산업개발,"28,250",600,+2.17%,"5,000","18,619","65,907",9.90,"1,283,475",7.01,20.30,
140,KCC,"205,500","3,000",+1.48%,"5,000","18,262","8,886",11.65,"68,530",-652.38,-4.37,
141,농심,"300,000","1,500",+0.50%,"5,000","18,248","6,083",18.25,"64,800",13.46,3.72,
142,KODEX 200선물인버스2X,"2,245",115,-4.87%,0,"18,247","812,800",0.79,"298,844,385",N/A,N/A,
143,두산인프라코어,"8,420",240,+2.93%,"5,000","18,180","215,913",4.72,"5,940,355",10.86,11.59,
144,TIGER MSCI Korea TR,"16,880",340,+2.06%,0,"18,078","107,100",0.00,"318,442",N/A,N/A,
145,현대엘리베이,"44,100","2,150",+5.13%,"5,000","17,999","40,815",25.09,"1,688,117",19.75,5.22,
146,명신산업,"44,000","2,300",-4.97%,500,"17,943","40,779",0.81,"3,512,386",N/A,53.84,
147,KODEX MSCI Korea TR,"13,445",275,+2.09%,0,"17,922","133,300",9.64,"302,394",N/A,N/A,
148,메리츠화재,"14,700",450,+3.16%,500,"17,732","120,625",9.79,"581,162",4.31,12.80,
149,부광약품,"27,200",450,-1.63%,500,"17,636","64,838",4.70,"882,783","13,600.00",-2.00,
150,현대백화점,"74,700","1,700",+2.33%,"5,000","17,482","23,402",13.86,"309,115",15.30,4.64,
151,아이에스동서,"55,500",0,0.00%,500,"17,145","30,893",5.31,"168,112",13.38,6.10,
152,효성,"77,100",800,+1.05%,"5,000","16,246","21,071",5.92,"157,568",-36.15,4.25,
153,KODEX 삼성그룹,"10,405",230,+2.26%,0,"16,221","155,900",0.03,"843,161",N/A,N/A,
154,KODEX 200TR,"13,400",250,+1.90%,0,"15,839","118,200",0.01,"295,469",N/A,N/A,
155,솔루스첨단소재,"51,200",200,-0.39%,100,"15,662","30,590",10.32,"666,009",147.98,N/A,
156,한화에어로스페이스,"30,800",450,+1.48%,"5,000","15,594","50,630",18.60,"550,099",21.60,5.45,
157,롯데정밀화학,"58,000","1,400",+2.47%,"5,000","14,964","25,800",22.93,"334,128",8.75,11.73,
158,KODEX 종합채권(AA-이상)액티브,"110,010",70,+0.06%,0,"14,954","13,593",0.00,"6,868",N/A,N/A,
159,LG생활건강우,"708,000","1,000",-0.14%,"5,000","14,866","2,100",84.51,"4,405",15.86,N/A,
160,영진약품,"8,000",320,-3.85%,500,"14,631","182,893",4.40,"5,028,584","-2,000.00",4.43,
161,NHN,"74,400",200,-0.27%,500,"14,556","19,565",11.48,"138,339",49.57,0.78,
162,KODEX 레버리지,"26,265","1,220",+4.87%,0,"14,551","55,400",1.40,"64,056,435",N/A,N/A,
163,영원무역,"32,400",800,+2.53%,500,"14,357","44,311",23.59,"302,144",8.77,9.82,
164,지누스,"99,100",500,+0.51%,500,"14,277","14,407",21.94,"76,261",20.00,26.32,
165,한국테크놀로지그룹,"14,500",150,+1.05%,500,"13,488","93,020",6.72,"216,769",12.10,4.71,
166,메리츠금융지주,"9,930",150,+1.53%,500,"13,307","134,011",8.18,"208,223",2.86,15.26,
167,F&F,"86,300","1,200",+1.41%,500,"13,290","15,400",9.04,"87,946",15.26,25.13,
168,이노션,"65,600","3,300",+5.30%,500,"13,120","20,000",29.19,"193,539",20.43,9.88,
169,한전KPS,"29,050",100,+0.35%,200,"13,072","45,000",11.18,"387,122",10.78,14.98,
170,KG동부제철,"13,000",0,0.00%,"5,000","13,001","100,009",0.16,"526,062",15.78,-7.44,
171,SK네트웍스,"5,110",60,+1.19%,"2,500","12,682","248,188",12.17,"1,214,250",-22.12,-5.85,
172,세방전지,"90,500","12,500",+16.03%,500,"12,670","14,000",26.70,"1,618,205",17.14,7.70,
173,KODEX 코스닥150 레버리지,"16,930",210,+1.26%,0,"12,596","74,400",1.40,"27,833,144",N/A,N/A,
174,KBSTAR 200,"41,765",955,+2.34%,0,"12,342","29,550",0.11,"441,651",N/A,N/A,
175,SK디스커버리,"64,600",200,-0.31%,"5,000","12,298","19,038",9.51,"169,630",4.24,11.52,
176,DGB금융지주,"7,200",400,+5.88%,"5,000","12,178","169,146",46.70,"1,645,913",3.67,7.31,
177,대한전선,"1,395",15,-1.06%,500,"11,948","856,473",2.03,"10,379,196",-77.50,-3.99,
178,일양약품,"62,600",0,0.00%,"2,500","11,948","19,086",7.70,"309,076",115.71,5.20,
179,한국콜마,"51,600",300,+0.58%,500,"11,807","22,881",27.25,"306,862",37.12,6.39,
180,더블유게임즈,"63,600","2,300",+3.75%,500,"11,686","18,375",14.57,"288,387",10.91,18.93,
181,LG전자우,"67,500","1,400",+2.12%,"5,000","11,601","17,186",38.99,"2,718,583",14.66,N/A,
182,신세계인터내셔날,"162,000","1,000",+0.62%,"5,000","11,567","7,140",4.89,"52,720",25.65,12.98,
183,코오롱인더,"42,200",50,+0.12%,"5,000","11,385","26,979",15.46,"459,200",7.56,1.58,
184,후성,"12,200",450,+3.83%,500,"11,298","92,607",4.45,"12,847,597",-221.82,3.85,
185,JB금융지주,"5,680",160,+2.90%,"5,000","11,189","196,983",38.93,"972,699",3.23,10.36,
186,금호타이어,"3,880",170,+4.58%,"5,000","11,146","287,260",4.37,"1,134,428",-11.12,-3.30,
187,유나이티드제약,"67,600",700,-1.02%,500,"10,981","16,245",5.39,"1,065,668",36.50,12.79,
188,휴켐스,"26,100",850,+3.37%,"1,000","10,669","40,879",8.54,"799,400",22.14,10.82,
189,영풍,"573,000","8,000",+1.42%,"5,000","10,555","1,842",4.69,"2,788",5.69,7.40,
